#bar	#beat	#offset	#dur	#count	#S0	#S1	#S2	#S3	#S4	#S5	#S6	#root	#key	#harm	#pitches
1	1	0	1	4	3	15	13	11	16	7	19	C	C	I	2c 1e 1g
1	2	1	1	4	11	16	7	19	3	15	13	G	C	Vb	1d 2g 1b
1	3	2	0.5	2	14	12	17	8	13	4	16	F#	C	vii/V	1c 1g 2a
1	3.5	2.5	0.5	2	17	8	20	4	16	7	12	F#	C	(vii/V)	1c 1f# 2a
1	4	3	0.5	2	11	16	7	19	3	15	13	G	C	V	1d 2g 1b
1	4.5	3.5	0.5	2	14	12	10	15	6	18	9	G	C	(V)	1d 1f 1g 1b
2	1	4	0.5	2	3	15	13	11	16	7	19	C	C	Ib	2c 1e 1g
2	1.5	4.5	0.5	2	6	18	9	14	12	10	15	C	C	(Ib)	1c 1e 1g 1b-
2	2	5	0.5	2	13	11	16	7	12	10	15	F	C	IV	1c 1f 1g 1a
2	2.5	5.5	0.5	2	16	7	19	3	15	13	11	F	C	(IV)	1c 2f 1a
2	3	6	0.5	2	7	12	17	8	13	11	16	C	C	I;	2c 1f 1g
2	3.5	6.5	0.5	2	3	15	13	11	16	7	19	C	C	(I;)	2c 1e 1g
2	4	7	0.5	2	3	15	13	11	16	7	19	C	C	V/IV	2c 1e 1g
2	4.5	7.5	0.5	2	6	18	9	14	12	10	15	C	C	(V/IV)	1c 1e 1g 1b-
3	1	8	0.5	2	7	12	17	8	20	4	16	A	C	vi	2c 1e 1a
3	1.5	8.5	0.5	2	11	9	21	5	17	8	13	F#	C	viiob/V	2c 1f# 1a
3	2	9	1	4	11	16	7	19	3	15	13	G	C	v	1d 2g 1b-
3	3	10	1	4	9	14	12	10	15	6	18	A	C	iio7b/v	1c 1e- 1g 1a
3	4	11	0.5	2	19	3	15	13	11	16	7	D	C	V/V	2d 1f# 1a
3	4.5	11.5	0.5	2	15	6	18	9	14	12	10	D	C	(V/V)	1c 1d 1f# 1a
4	1	12	2	8	11	16	7	19	3	15	13	G	C	v;	1d 2g 1b-
